sampleID	f_Atopobiaceae	g_Enterorhabdus	g_Parvibacter	f_Eggerthellaceae;g_uncultured	g_Bacteroides	g_Odoribacter	g_Muribaculum	f_Muribaculaceae;g_uncultured Bacteroidales bacterium	f_Muribaculaceae;g_uncultured bacterium	f_Muribaculaceae	g_Alloprevotella	g_Prevotellaceae UCG-001	g_Alistipes	g_Rikenellaceae RC9 gut group	g_Parabacteroides	o_Gastranaerophilales;f_uncultured bacterium;g_uncultured bacterium	g_Mucispirillum	g_Bacillus	g_Listeria	g_Staphylococcus	g_Enterococcus	g_Lactobacillus	g_Streptococcus	g_Christensenellaceae R-7 group	f_Christensenellaceae;g_uncultured	g_Clostridium sensu stricto 1	f_Clostridiales vadinBB60 group;g_uncultured bacterium	g_Defluviitaleaceae UCG-011	g_Anaerofustis	g_Anaerovorax	g_Family XIII AD3011 group	g_[Eubacterium] brachy group	g_[Eubacterium] nodatum group	f_Lachnospiraceae;g_A2	f_Lachnospiraceae;g_ASF356	g_Acetatifactor	g_Blautia	f_Lachnospiraceae;g_GCA-900066575	g_Lachnoclostridium	g_Lachnospiraceae FCS020 group	g_Lachnospiraceae NK4A136 group	g_Lachnospiraceae UCG-006	g_Marvinbryantia	g_Roseburia	g_Tyzzerella	g_[Eubacterium] xylanophilum group	f_Lachnospiraceae;g_uncultured	f_Lachnospiraceae	g_Peptococcus	f_Peptococcaceae;g_uncultured	g_Romboutsia	f_Peptostreptococcaceae	g_Anaerotruncus	g_Angelakisella	g_Butyricicoccus	g_Candidatus Soleaferrea	f_Ruminococcaceae;g_GCA-900066225	g_Harryflintia	g_Intestinimonas	g_Oscillibacter	g_Ruminiclostridium	g_Ruminiclostridium 1	g_Ruminiclostridium 5	g_Ruminiclostridium 9	g_Ruminococcaceae NK4A214 group	g_Ruminococcaceae UCG-003	g_Ruminococcaceae UCG-004	g_Ruminococcaceae UCG-009	g_Ruminococcaceae UCG-010	g_Ruminococcaceae UCG-013	g_Ruminococcaceae UCG-014	f_Ruminococcaceae;g_UBA1819	g_[Eubacterium] coprostanoligenes group	f_Ruminococcaceae;g_uncultured	f_Ruminococcaceae	g_Dubosiella	g_Erysipelatoclostridium	g_Faecalibaculum	g_Turicibacter	f_Erysipelotrichaceae;g_uncultured	f_Erysipelotrichaceae;g_uncultured bacterium	f_Erysipelotrichaceae	g_Candidatus Saccharimonas	g_Azospirillum sp. 47_25	o_Rhodospirillales;f_uncultured;g_unidentified rumen bacterium RF32	g_Bilophila	g_Desulfovibrio	f_Desulfovibrionaceae;g_uncultured	g_Parasutterella	g_Escherichia-Shigella	f_Enterobacteriaceae	g_Pseudomonas	g_uncultured Lachnospiraceae bacterium	o_Mollicutes RF39;f_uncultured bacterium;g_uncultured bacterium	o_Mollicutes RF39;f_unidentified;g_unidentified	o_Mollicutes RF39	g_Akkermansia	k_Bacteria
247-7-3h	6	28	0	0	133	38	14	9	281	126	186	0	239	259	21	2	5	0	0	0	0	205	1	0	5	26	6	0	0	0	0	0	3	0	0	5	29	10	17	0	24	0	16	6	9	0	7	248	2	4	118	0	6	14	1	0	3	0	9	43	17	1	24	21	0	0	1	5	2	0	0	0	20	4	69	239	0	1230	4	0	0	0	0	1	0	3	0	251	39	0	0	0	0	0	0	0	0	0
271-7-1h	0	9	0	0	177	79	5	4	244	127	46	0	317	201	27	0	126	0	0	0	0	104	11	0	5	0	4	0	0	0	0	0	0	0	0	0	59	0	13	0	66	0	32	13	12	0	13	403	0	7	51	0	12	12	0	3	10	0	13	64	43	0	31	39	0	7	0	12	0	0	0	2	35	0	113	110	0	961	4	0	0	0	0	2	0	0	0	449	18	0	0	0	0	0	0	0	0	0
271-7-3h	2	23	1	0	149	60	10	10	295	144	82	0	305	218	40	4	8	0	0	0	0	241	2	1	1	27	3	0	0	3	0	0	2	0	0	5	61	4	3	1	42	2	39	14	15	0	8	381	2	2	151	0	8	16	1	0	6	0	7	37	27	0	21	15	0	0	4	4	3	0	2	1	44	7	73	169	0	969	4	0	0	0	0	8	0	0	0	287	21	0	0	0	0	0	0	0	0	0
271-7-4h	0	27	3	0	113	76	5	5	307	113	60	0	367	198	48	4	9	0	0	0	2	220	8	0	6	29	4	0	0	0	0	1	2	0	0	6	65	11	7	0	40	4	43	10	8	0	11	350	3	8	111	2	3	12	0	0	8	1	10	44	40	0	42	16	0	0	5	9	2	0	1	0	53	6	64	157	0	1036	5	0	0	0	0	7	0	1	0	272	14	1	0	0	0	0	0	0	0	0
281-7-1h	0	11	0	0	88	62	15	8	249	114	99	0	220	105	16	0	85	0	0	0	0	248	4	0	3	22	3	0	0	0	0	0	0	0	0	8	40	5	51	0	50	0	28	10	11	0	7	312	0	6	85	0	5	35	0	0	8	0	4	45	39	0	33	23	0	0	7	7	0	0	0	0	35	15	122	149	0	1109	0	0	0	0	0	0	0	0	0	490	4	0	0	0	0	0	0	0	0	0
281-7-3h	1	28	1	0	212	65	17	6	246	166	143	0	405	168	60	5	3	0	0	0	2	262	9	0	0	70	12	0	0	0	0	0	1	0	0	6	57	8	8	1	19	0	26	0	10	0	4	217	1	4	284	1	4	12	0	0	6	0	4	22	16	0	13	14	0	4	2	4	1	0	0	0	38	4	70	243	0	898	3	0	0	0	0	4	0	0	0	189	15	1	0	0	0	0	0	0	0	0
287-7-1h	0	20	0	0	122	83	5	5	260	158	161	2	329	160	15	0	52	0	0	0	0	153	6	0	3	15	17	0	0	0	0	4	1	0	0	8	31	15	16	0	93	5	22	14	23	0	14	503	1	7	47	0	13	0	3	3	6	0	11	62	52	0	32	50	0	4	9	7	0	0	7	0	54	12	139	125	0	575	0	0	0	0	0	7	0	2	0	536	15	0	0	0	0	0	1	0	0	0
287-7-2h	0	28	0	0	68	73	19	11	267	183	263	0	411	152	9	0	6	0	0	0	2	95	3	0	4	35	13	2	0	0	0	0	0	0	0	5	31	12	10	0	67	0	61	13	5	0	10	272	0	5	143	7	9	0	0	2	2	0	9	21	20	0	8	17	0	0	9	0	5	0	2	0	50	0	69	235	1	1161	0	0	0	0	0	9	0	0	0	169	12	0	0	0	0	0	0	0	0	0
287-7-3h	0	42	1	0	126	126	8	16	278	166	289	0	461	269	35	0	9	0	0	0	1	103	19	3	3	30	16	0	0	0	0	0	0	0	0	1	26	6	7	0	20	0	32	5	6	0	2	304	1	1	159	4	4	0	0	0	1	0	0	9	8	0	7	13	0	0	2	1	4	0	7	0	64	2	35	269	0	880	0	0	0	0	1	31	0	1	1	148	30	2	0	0	0	0	0	0	0	0
253-7-1h	2	20	0	0	48	36	0	0	183	67	0	0	72	70	18	0	135	0	0	0	0	540	7	0	0	278	0	0	0	0	0	0	0	0	0	9	1	5	215	5	9	12	3	0	20	1	21	180	0	0	111	0	0	0	0	0	2	0	0	9	20	0	8	19	0	0	5	0	0	0	62	0	4	0	39	1324	0	26	355	0	0	0	15	0	0	0	13	95	29	2	0	0	0	0	0	0	0	0
253-7-2h	0	39	0	0	54	45	0	5	173	61	2	0	112	103	23	0	4	0	0	0	0	721	11	0	0	205	2	0	0	0	0	0	0	0	0	2	2	3	122	0	4	4	6	0	5	0	12	128	0	0	139	0	0	0	0	0	3	0	0	2	5	0	4	6	0	0	10	0	0	0	39	0	6	0	19	1512	0	28	353	0	0	0	12	0	0	0	2	37	70	0	0	0	0	0	0	0	0	0
272-7-1h	5	40	0	0	111	68	0	14	241	168	27	0	151	132	27	0	41	0	0	0	0	593	4	0	0	182	1	0	0	0	0	1	0	0	0	1	40	2	149	5	10	4	6	0	27	2	21	174	0	0	81	2	0	0	0	0	0	0	5	22	16	0	2	19	0	0	17	0	0	0	7	0	3	5	34	1049	0	36	346	0	0	0	29	0	0	0	8	108	58	0	0	0	0	0	0	1	0	0
272-7-2h	5	30	0	0	71	55	1	4	186	107	9	0	127	72	22	0	0	0	0	0	0	642	4	0	0	240	0	0	0	0	0	0	0	0	3	1	42	4	128	1	14	6	0	0	7	2	15	162	0	2	114	1	0	0	0	0	1	0	2	12	5	0	6	9	0	0	9	0	0	0	2	0	3	6	26	1405	0	49	300	0	0	0	8	0	0	0	9	77	89	0	0	0	0	0	0	0	0	0
292-7-1h	4	18	0	4	35	57	0	0	267	116	0	0	107	102	22	0	117	0	0	0	0	690	6	0	0	235	0	0	0	5	0	0	0	14	0	25	0	12	217	11	0	6	9	0	17	0	27	294	0	0	83	0	0	0	0	0	0	0	0	13	18	0	4	3	3	0	23	4	2	0	4	0	0	0	75	906	0	25	312	0	0	0	5	0	0	0	22	150	26	0	0	0	0	0	0	0	0	0
292-7-2h	1	16	3	0	33	45	2	4	243	93	0	0	132	121	17	0	4	0	0	0	0	826	7	0	0	246	0	0	0	0	0	0	0	22	0	19	0	4	143	4	26	0	5	0	28	0	19	141	1	0	90	0	0	0	0	0	0	2	0	5	23	0	6	23	3	0	16	1	0	0	6	0	9	0	60	1299	0	21	176	0	0	0	4	0	0	0	2	59	85	0	0	0	0	0	0	0	0	0
292-7-3h	7	15	0	0	38	99	1	6	268	125	3	0	221	165	24	0	6	0	0	0	0	800	4	0	0	284	0	0	0	4	0	0	0	18	0	20	4	14	160	4	13	3	0	0	26	2	24	222	1	4	108	0	0	0	0	0	3	0	0	11	29	0	9	24	1	2	18	2	0	0	6	0	5	0	47	756	0	20	208	0	0	0	7	0	0	0	3	124	126	0	0	0	0	0	0	1	0	0
318-7-1h	0	15	0	0	190	45	0	4	293	130	39	0	147	238	32	0	5	0	0	0	0	456	4	0	0	115	0	0	0	0	0	4	0	0	0	9	0	1	345	0	28	7	10	0	19	0	16	178	0	0	110	0	0	2	0	0	0	0	0	1	36	0	3	2	0	0	17	0	0	0	5	0	5	2	24	1056	0	42	179	0	0	0	6	0	0	0	6	104	165	0	0	0	0	0	0	0	0	0
318-7-2h	2	26	0	0	176	44	0	9	262	97	10	0	108	113	21	0	0	0	0	0	0	418	4	0	0	98	0	0	0	0	0	5	3	0	0	5	0	0	296	2	4	8	12	0	23	0	12	127	0	4	153	0	0	0	0	0	0	0	0	1	22	0	15	8	0	0	19	0	0	0	3	0	0	4	24	1481	0	51	246	0	0	0	5	0	0	0	10	25	139	0	0	0	0	0	0	0	0	0
318-7-3h	0	18	0	0	183	61	1	2	234	82	19	0	102	156	41	0	6	0	0	0	0	409	4	0	0	140	0	0	0	0	0	3	0	0	0	10	0	5	287	0	14	8	5	0	11	0	15	146	0	2	111	0	0	0	0	0	2	0	0	0	19	0	7	8	0	0	19	0	0	0	1	0	3	0	26	1451	0	41	163	0	0	0	11	0	0	0	6	102	160	0	0	0	0	0	1	0	0	0
318-7-4h	1	27	0	0	145	90	0	7	172	61	5	0	101	98	17	0	4	0	0	0	0	513	0	0	0	124	0	0	0	1	0	2	0	0	0	8	3	7	282	5	11	12	4	0	9	0	21	247	0	5	168	1	0	0	0	0	0	0	0	1	26	0	23	14	0	0	16	0	0	0	2	3	3	0	52	1294	0	39	135	0	0	0	6	0	0	0	9	138	183	0	0	0	0	0	0	0	0	0
254-7-1h	26	14	0	0	76	64	0	12	227	144	15	0	176	139	31	0	41	0	0	0	0	418	6	0	2	284	0	0	0	2	0	0	0	0	0	5	2	27	171	2	24	13	5	0	13	0	22	285	0	7	52	0	0	0	0	0	0	0	4	28	15	0	13	26	0	0	14	11	0	0	14	5	8	0	127	1012	0	14	203	0	0	0	69	1	0	0	20	118	84	0	0	0	0	0	0	4	0	0
254-7-2h	31	14	0	4	65	68	4	9	191	144	6	0	190	173	43	0	1	0	0	0	0	541	4	0	0	390	0	2	0	2	0	0	0	0	0	10	2	16	130	4	14	3	9	0	31	2	30	206	0	7	94	0	0	0	0	0	4	0	6	17	21	0	8	13	0	0	8	12	2	0	11	7	4	0	72	974	0	33	252	0	0	0	35	1	0	0	7	83	75	0	0	0	0	3	0	7	0	0
254-7-3h	33	6	0	0	95	79	0	8	210	157	13	0	313	243	60	0	1	0	0	0	0	532	3	0	0	315	0	3	0	0	0	0	0	0	0	3	4	20	72	0	13	7	12	0	6	4	20	174	0	3	91	0	0	0	0	0	2	0	4	10	12	0	12	30	0	0	3	10	0	0	5	2	4	4	86	901	0	14	259	0	0	0	25	4	0	0	3	76	117	0	0	0	0	1	0	11	0	0
273-7-1h	50	5	2	0	55	86	0	11	195	106	40	0	194	149	8	0	61	0	0	0	0	565	3	0	0	198	2	3	0	4	0	2	0	0	0	16	0	7	158	14	37	0	2	0	17	7	0	260	0	7	26	2	0	0	0	0	2	0	5	48	63	0	37	27	0	0	4	32	0	0	1	5	2	0	81	989	0	20	110	0	0	0	49	0	0	0	14	187	123	0	0	0	0	4	0	0	0	0
273-7-2h	84	8	0	0	52	45	0	0	138	81	26	0	203	187	9	0	2	0	0	0	0	738	2	2	0	287	0	1	0	1	0	0	0	0	0	9	0	4	42	0	9	2	0	0	9	5	0	75	0	2	53	0	0	0	0	0	0	0	0	6	28	0	12	11	0	0	5	11	0	0	0	0	2	0	16	1494	0	44	167	0	0	0	39	1	0	0	3	60	120	0	0	0	0	0	0	0	0	0
273-7-3h	53	9	0	0	55	76	0	13	179	103	44	0	251	180	11	0	10	0	0	0	0	772	1	0	4	324	0	5	0	0	0	0	0	0	0	5	0	12	83	1	8	1	0	0	7	0	0	142	0	1	64	0	0	0	0	0	3	0	0	8	29	0	7	17	0	0	4	19	0	0	0	6	4	0	36	1035	0	20	171	0	0	0	49	2	0	0	8	100	156	0	0	0	0	6	1	0	0	0
273-7-4h	43	9	0	0	79	109	1	3	165	104	30	0	233	208	20	0	4	0	0	0	0	664	3	2	0	312	0	0	0	0	2	0	0	0	0	18	0	15	122	1	8	4	1	0	11	2	2	191	0	0	50	0	0	0	0	0	3	0	6	18	44	0	9	25	0	0	7	25	1	0	0	4	0	0	46	912	0	24	123	0	0	0	27	0	0	0	7	230	164	0	0	0	0	4	0	0	0	0
293-7-1h	16	19	0	0	106	102	3	9	190	136	18	0	242	119	55	0	96	0	0	0	0	299	1	6	7	247	0	6	0	3	0	0	0	5	1	18	0	11	134	0	3	5	0	0	13	5	0	346	0	15	100	0	0	0	0	1	1	0	13	46	56	0	20	31	0	0	13	15	0	0	4	4	5	0	122	776	0	49	138	0	0	0	14	2	0	0	11	377	59	0	0	0	0	0	0	1	1	0
293-7-3h	20	17	0	0	146	120	2	9	173	151	25	0	290	159	60	0	1	0	0	0	0	521	7	4	7	296	0	7	0	0	0	0	0	8	0	8	0	6	76	0	1	11	7	0	5	5	0	190	0	6	124	0	0	0	0	0	3	0	6	20	70	0	16	29	0	0	7	13	0	0	4	5	10	0	62	829	2	43	192	0	0	0	24	1	1	0	3	163	129	0	0	0	0	0	1	0	0	0
319-7-1h	17	12	0	0	116	101	0	6	258	210	37	0	264	184	37	0	40	0	0	0	0	207	7	7	7	134	2	0	0	4	0	0	0	0	0	16	0	8	124	9	18	6	3	0	10	10	1	174	0	7	94	0	0	0	0	0	0	0	5	34	77	0	24	12	2	0	14	13	1	0	9	1	1	0	111	984	1	15	270	0	0	0	46	4	1	0	16	199	122	0	0	0	0	0	2	1	0	0
319-7-3h	46	6	0	0	111	100	0	4	251	217	28	0	346	260	28	0	3	0	0	0	0	312	1	5	10	129	0	1	0	0	0	0	0	0	0	6	0	0	58	2	5	1	9	0	9	0	0	60	0	0	105	0	0	0	0	0	2	0	0	0	45	0	5	7	0	0	1	11	0	0	6	1	7	0	20	1218	0	28	285	0	0	0	29	6	0	0	1	121	189	0	0	0	0	0	0	0	0	0
319-7-4h	48	15	0	0	124	153	0	7	263	218	25	0	360	229	34	0	4	0	0	0	0	466	1	4	10	180	1	3	0	0	0	3	0	0	0	6	0	5	71	8	14	0	4	0	11	2	0	96	0	0	112	0	1	0	0	0	2	0	4	6	40	0	6	8	0	0	1	8	0	0	13	0	5	0	38	880	0	29	234	0	0	0	19	1	2	0	0	128	193	0	0	0	0	0	0	0	0	0
255-7-2h	0	19	0	0	107	67	38	7	530	81	471	0	520	158	306	2	44	0	0	0	0	65	4	1	19	0	7	6	0	3	5	0	0	0	0	0	170	21	21	0	96	4	58	2	14	12	0	169	0	16	116	0	12	0	0	4	8	2	6	54	43	0	30	33	1	0	7	10	1	0	2	2	55	1	124	0	3	157	0	0	1	0	0	9	0	2	0	355	12	0	0	0	0	1	0	1	0	0
255-7-3h	0	29	0	4	63	58	31	2	512	81	386	0	643	121	303	2	15	0	0	0	0	82	3	1	30	0	7	4	0	2	4	0	0	0	0	4	109	19	25	0	67	0	72	8	9	28	0	231	0	5	225	0	11	0	0	7	8	2	14	45	30	0	27	16	0	5	5	3	0	0	2	0	75	0	108	1	5	293	0	0	0	3	1	3	0	0	0	236	8	0	0	0	0	2	0	0	0	0
274-7-1h	0	36	0	0	166	61	42	2	426	54	400	0	378	132	219	2	50	0	0	0	0	87	6	0	2	1	7	1	0	0	0	0	3	0	2	13	110	20	19	0	140	0	38	16	12	6	4	270	1	9	162	2	11	0	0	8	9	0	7	31	35	0	21	16	0	0	4	5	4	0	1	3	55	9	93	0	1	587	0	0	0	0	2	0	0	0	0	257	26	2	0	0	0	6	0	3	0	0
274-7-2h	0	48	0	0	125	120	33	3	538	84	418	0	417	157	139	0	8	0	0	0	0	136	3	0	8	0	7	4	0	4	0	0	0	0	1	6	141	16	21	0	114	2	41	3	12	6	5	195	0	4	167	0	4	0	0	7	1	0	7	42	31	0	15	11	0	0	3	2	7	0	1	0	77	5	99	0	2	547	0	0	0	0	0	0	0	3	0	202	35	0	0	0	0	8	0	0	0	0
274-7-3h	0	56	0	0	116	107	45	15	607	97	387	0	479	179	172	2	5	0	0	0	0	48	14	1	7	0	6	3	0	3	0	0	0	0	2	3	94	17	13	0	71	0	46	9	3	15	2	209	1	1	188	2	5	0	0	10	7	1	12	27	24	0	11	23	1	0	5	5	7	0	3	4	83	5	98	0	0	521	0	0	0	0	1	0	0	3	0	190	16	0	0	0	0	8	0	0	0	0
299-7-1h	0	27	3	0	218	30	26	2	395	131	342	0	384	59	298	1	39	0	0	0	0	181	11	0	17	0	3	2	0	4	4	0	0	0	0	0	163	19	19	0	112	0	61	14	11	9	0	236	0	14	130	0	16	0	0	9	6	1	6	41	17	0	51	36	1	0	6	13	1	0	5	3	82	0	95	0	4	237	0	0	0	1	0	6	0	4	2	472	9	0	0	0	0	6	0	0	0	0
