sampleID	mouse	passage_cycle	cage	litter	diet	ZT	disrupted_clock	clock_group	colitis	genotype	genotype_group	project	timepoint	Transit_Time	Fecal_Mass	Microbiota_Excretion	Microbial_Load
368-2-120min	368	2	B_8	B_7	control	5	no	normal	no	BALBc	WT	extra_study	150min	120	0.0102	6746120830	6.61384e+11
368-2-30min	368	2	B_8	B_7	control	5	no	normal	no	BALBc	WT	extra_study	30min	120	0.1378	20028797128	1.45347e+11
368-2-90min	368	2	B_8	B_7	control	5	no	normal	no	BALBc	WT	extra_study	90min	120	0.3242	49322224980	1.52135e+11
424-2-120min	424	2	B_6	B_8	control	5	no	normal	no	BALBc	IL10-/-	extra_study	150min	120	0.0075	2794791020	3.72639e+11
424-2-30min	424	2	B_6	B_8	control	5	no	normal	no	BALBc	IL10-/-	extra_study	30min	120	0.1582	63990916186	4.04494e+11
424-2-90min	424	2	B_6	B_8	control	5	no	normal	no	BALBc	IL10-/-	extra_study	90min	120	0.1606	12795652314	79674049278
431-2-120min	431	2	B_6	B_9	control	5	no	normal	no	BALBc	IL10-/-	extra_study	150min	120	0.0112	2967040431	2.64914e+11
431-2-30min	431	2	B_6	B_9	control	5	no	normal	no	BALBc	IL10-/-	extra_study	30min	120	0.1234	46065396741	3.73301e+11
431-2-90min	431	2	B_6	B_9	control	5	no	normal	no	BALBc	IL10-/-	extra_study	90min	120	0.0812	13778234347	1.69683e+11
438-2-150min	438	2	B_5	B_11	control	5	no	normal	no	BALBc	IL10-/-	extra_study	150min	150	0.0233	7280727696	3.12478e+11
438-2-30min	438	2	B_5	B_11	control	5	no	normal	no	BALBc	IL10-/-	extra_study	30min	150	0.1134	45030361832	3.97093e+11
438-2-90min	438	2	B_5	B_11	control	5	no	normal	no	BALBc	IL10-/-	extra_study	90min	150	0.1539	34372825120	2.23345e+11
439-2-150min	439	2	B_6	B_11	control	5	no	normal	no	BALBc	IL10-/-	extra_study	150min	150	0.0915	15033485581	1.643e+11
439-2-30min	439	2	B_6	B_11	control	5	no	normal	no	BALBc	IL10-/-	extra_study	30min	150	0.21	74929536134	3.56807e+11
439-2-90min	439	2	B_6	B_11	control	5	no	normal	no	BALBc	IL10-/-	extra_study	90min	150	0.1079	15673797593	1.45262e+11
440-2-120min	440	2	B_8	B_11	control	5	no	normal	no	BALBc	IL10-/-	extra_study	150min	120	0.0212	8234965477	3.88442e+11
440-2-30min	440	2	B_8	B_11	control	5	no	normal	no	BALBc	IL10-/-	extra_study	30min	120	0.1436	18505456513	1.28868e+11
440-2-90min	440	2	B_8	B_11	control	5	no	normal	no	BALBc	IL10-/-	extra_study	90min	120	0.1594	10466029506	65658905307
448-2-120min	448	2	B_7	B_12	control	5	no	normal	no	BALBc	IL10-/-	extra_study	150min	120	0.0077	5634785857	7.3179e+11
448-2-30min	448	2	B_7	B_12	control	5	no	normal	no	BALBc	IL10-/-	extra_study	30min	120	0.0933	57716324709	6.1861e+11
448-2-90min	448	2	B_7	B_12	control	5	no	normal	no	BALBc	IL10-/-	extra_study	90min	120	0.1214	23885718160	1.96752e+11
458-2-150min	458	2	B_8	B_13	control	5	no	normal	no	BALBc	IL10-/-	extra_study	150min	150	0.099	22126623805	2.23501e+11
458-2-30min	458	2	B_8	B_13	control	5	no	normal	no	BALBc	IL10-/-	extra_study	30min	150	0.1463	27017995707	1.84675e+11
458-2-60min	458	2	B_8	B_13	control	5	no	normal	no	BALBc	IL10-/-	extra_study	90min	150	0.0849	7939041542	93510501084
459-2-120min	459	2	B_7	B_13	control	5	no	normal	no	BALBc	IL10-/-	extra_study	150min	120	0.0665	13469512417	2.02549e+11
459-2-30min	459	2	B_7	B_13	control	5	no	normal	no	BALBc	IL10-/-	extra_study	30min	120	0.2423	18877630656	77910155411
459-2-90min	459	2	B_7	B_13	control	5	no	normal	no	BALBc	IL10-/-	extra_study	90min	120	0.0693	10902676233	1.57326e+11
461-2-120min	461	2	B_5	B_13	control	5	no	normal	no	BALBc	IL10-/-	extra_study	150min	120	0.014	11431311098	8.16522e+11
461-2-30min	461	2	B_5	B_13	control	5	no	normal	no	BALBc	IL10-/-	extra_study	30min	120	0.198	15422458590	77891205000
461-2-90min	461	2	B_5	B_13	control	5	no	normal	no	BALBc	IL10-/-	extra_study	90min	120	0.1317	8879789532	67424370023
495-120min	495	1	C_1	C_1	control	1	no	normal	no	BALBc	WT	TRF_study	150min	180	0.0489	2963947358	60612420409
495-180min	495	1	C_1	C_1	control	1	no	normal	no	BALBc	WT	TRF_study	210min	180	0.0145	12565063384	8.66556e+11
495-30min	495	1	C_1	C_1	control	1	no	normal	no	BALBc	WT	TRF_study	30min	180	0.3306	34706000262	1.04979e+11
495-60min	495	1	C_1	C_1	control	1	no	normal	no	BALBc	WT	TRF_study	90min	180	0.2467	49485729388	2.00591e+11
496-30min	496	1	C_5	C_1	TRF	1	no	normal	no	BALBc	WT	TRF_study	30min	90	0.2191	19777699556	90267912168
496-60min	496	1	C_5	C_1	TRF	1	no	normal	no	BALBc	WT	TRF_study	90min	90	0.2124	19626319661	92402634939
497-120min	497	1	C_9	C_1	control	1	yes	disrupted	no	BALBc	WT	TRF_study	150min	180	0.0321	7107742022	2.21425e+11
497-180min	497	1	C_9	C_1	control	1	yes	disrupted	no	BALBc	WT	TRF_study	210min	180	0.0324	7730748613	2.38603e+11
497-30min	497	1	C_9	C_1	control	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	180	0.3605	47307548648	1.31228e+11
497-60min	497	1	C_9	C_1	control	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	180	0.0692	21552556247	3.11453e+11
499-30min	499	1	C_13	C_2	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	90	0.3314	23972344632	72336586095
499-60min	499	1	C_13	C_2	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	90	0.1819	31358374888	1.72393e+11
500-120min	500	1	C_1	C_2	control	1	no	normal	no	BALBc	WT	TRF_study	150min	120	0.0322	5464236182	1.69697e+11
500-30min	500	1	C_1	C_2	control	1	no	normal	no	BALBc	WT	TRF_study	30min	120	0.4571	57138379100	1.25002e+11
500-60min	500	1	C_1	C_2	control	1	no	normal	no	BALBc	WT	TRF_study	90min	120	0.1723	16649197567	96629121109
501-30min	501	1	C_5	C_2	TRF	1	no	normal	no	BALBc	WT	TRF_study	30min	90	0.2022	13107391176	64823893056
501-60min	501	1	C_5	C_2	TRF	1	no	normal	no	BALBc	WT	TRF_study	90min	90	0.2068	22526161592	1.08927e+11
502-120min	502	1	C_9	C_2	control	1	yes	disrupted	no	BALBc	WT	TRF_study	150min	150	0.0446	8343226306	1.87068e+11
502-30min	502	1	C_9	C_2	control	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	150	0.3202	29473114465	92045953982
502-60min	502	1	C_9	C_2	control	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	150	0.1459	17484487790	1.19839e+11
503-30min	503	1	C_15	C_2	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	90	0.2573	24585122415	95550417470
503-60min	503	1	C_15	C_2	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	90	0.1767	12186741490	68968542671
506-120min	506	1	C_2	C_3	control	1	no	normal	no	BALBc	WT	TRF_study	150min	150	0.0436	6453273508	1.48011e+11
506-30min	506	1	C_2	C_3	control	1	no	normal	no	BALBc	WT	TRF_study	30min	150	0.2613	26811554635	1.02608e+11
506-60min	506	1	C_2	C_3	control	1	no	normal	no	BALBc	WT	TRF_study	90min	150	0.1019	12534898024	1.23012e+11
507-120min	507	1	C_10	C_3	control	1	yes	disrupted	no	BALBc	WT	TRF_study	150min	150	0.0511	13825878784	2.70565e+11
507-30min	507	1	C_10	C_3	control	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	150	0.3489	57200102594	1.63944e+11
507-60min	507	1	C_10	C_3	control	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	150	0.1228	24477439693	1.99328e+11
508-120min	508	1	C_13	C_3	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	150min	120	0.0352	1263747619	35901920994
508-30min	508	1	C_13	C_3	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	120	0.416	69544390305	1.67174e+11
508-60min	508	1	C_13	C_3	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	120	0.2425	8426846365	34749881918
509-120min	509	1	C_16	C_3	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	150min	120	0.0235	2854460909	1.21466e+11
509-30min	509	1	C_16	C_3	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	120	0.4817	1.05e+11	2.17789e+11
509-60min	509	1	C_16	C_3	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	120	0.2422	7796720485	32191248906
510-120min	510	1	C_6	C_3	TRF	1	no	normal	no	BALBc	WT	TRF_study	150min	150	0.0838	15238480580	1.81843e+11
510-30min	510	1	C_6	C_3	TRF	1	no	normal	no	BALBc	WT	TRF_study	30min	150	0.1495	15892547145	1.06305e+11
510-60min	510	1	C_6	C_3	TRF	1	no	normal	no	BALBc	WT	TRF_study	90min	150	0.0913	8392307416	91920125038
515-120min	515	1	C_2	C_4	control	1	no	normal	no	BALBc	WT	TRF_study	150min	150	0.0442	13385682910	3.02844e+11
515-30min	515	1	C_2	C_4	control	1	no	normal	no	BALBc	WT	TRF_study	30min	150	0.332	28486801009	85803617497
515-60min	515	1	C_2	C_4	control	1	no	normal	no	BALBc	WT	TRF_study	90min	150	0.1966	39366653208	2.00237e+11
517-120min	517	1	C_11	C_4	control	1	yes	disrupted	no	BALBc	WT	TRF_study	150min	120	0.0237	5075991110	2.14177e+11
517-30min	517	1	C_11	C_4	control	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	120	0.2848	13445706575	47211048367
517-60min	517	1	C_11	C_4	control	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	120	0.1623	17650561348	1.08753e+11
518-30min	518	1	C_4	C_4	control	1	no	normal	no	BALBc	WT	TRF_study	30min	90	0.3302	24302859963	73600423873
518-60min	518	1	C_4	C_4	control	1	no	normal	no	BALBc	WT	TRF_study	90min	90	0.1404	16314211383	1.16198e+11
519-30min	519	1	C_8	C_4	TRF	1	no	normal	no	BALBc	WT	TRF_study	30min	90	0.1745	16301563038	93418699358
519-60min	519	1	C_8	C_4	TRF	1	no	normal	no	BALBc	WT	TRF_study	90min	90	0.2397	16197159287	67572629483
521-30min	521	1	C_4	C_5	control	1	no	normal	no	BALBc	WT	TRF_study	30min	240	0.4496	94656157702	2.10534e+11
521-60min	521	1	C_4	C_5	control	1	no	normal	no	BALBc	WT	TRF_study	90min	240	0.1965	17019475536	86613107053
522-30min	522	1	C_7	C_5	TRF	1	no	normal	no	BALBc	WT	TRF_study	30min	90	0.41	29803887825	72692409329
522-60min	522	1	C_7	C_5	TRF	1	no	normal	no	BALBc	WT	TRF_study	90min	90	0.2716	1844253250	6790328608
523-120min	523	1	C_16	C_5	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	150min	120	0.0244	2578481294	1.05675e+11
523-30min	523	1	C_16	C_5	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	120	0.3571	36286726664	1.01615e+11
523-60min	523	1	C_16	C_5	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	120	0.1872	10968815807	58594101533
524-120min	524	1	C_11	C_5	control	1	yes	disrupted	no	BALBc	WT	TRF_study	150min	150	0.0816	32815162330	4.02147e+11
524-30min	524	1	C_11	C_5	control	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	150	0.3802	21475092857	56483674006
524-60min	524	1	C_11	C_5	control	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	150	0.1529	13672073347	89418399915
527-30min	527	1	C_15	C_6	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	90	0.3981	45031252373	1.13115e+11
527-60min	527	1	C_15	C_6	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	90	0.1991	4069626284	20440111924
528-120min	528	1	C_8	C_6	TRF	1	no	normal	no	BALBc	WT	TRF_study	150min	120	0.0154	4876174038	3.16635e+11
528-30min	528	1	C_8	C_6	TRF	1	no	normal	no	BALBc	WT	TRF_study	30min	120	0.3853	47864727120	1.24227e+11
528-60min	528	1	C_8	C_6	TRF	1	no	normal	no	BALBc	WT	TRF_study	90min	120	0.196	15899194867	81118341158
529-120min	529	1	C_2	C_9	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	150min	120	0.0287	5325149078	1.85545e+11
529-30min	529	1	C_2	C_9	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	30min	120	0.0512	14257873349	2.78474e+11
529-90min	529	1	C_2	C_9	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	90min	120	0.0055	1356548076	2.46645e+11
530-120min	530	1	C_9	C_9	control	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	150min	180	0.1226	18692042674	1.52464e+11
530-30min	530	1	C_9	C_9	control	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	30min	180	0.1552	19386461038	1.24913e+11
530-60min	530	1	C_9	C_9	control	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	90min	180	0.0598	443680721.2	7419410054
531-120min	531	1	C_6	C_9	TRF	1	no	normal	yes	BALBc	IL10-/-	TRF_study	150min	120	0.1437	5756690253	40060474969
531-30min	531	1	C_6	C_9	TRF	1	no	normal	yes	BALBc	IL10-/-	TRF_study	30min	120	0.1147	10313099816	89913686277
531-60min	531	1	C_6	C_9	TRF	1	no	normal	yes	BALBc	IL10-/-	TRF_study	90min	120	0.1983	19843663605	1.00069e+11
533-30min	533	1	C_5	C_10	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	30min	90	0.2067	1149640475	5561879415
533-60min	533	1	C_5	C_10	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	90min	90	0.1933	9835849840	50883858458
534-120min	534	1	C_2	C_10	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	150min	120	0.0136	7100132560	5.22069e+11
534-30min	534	1	C_2	C_10	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	30min	120	0.3679	86950203079	2.36342e+11
534-60min	534	1	C_2	C_10	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	90min	120	0.1623	8785229469	54129571590
535-120min	535	1	C_12	C_10	control	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	150min	150	0.0824	7438109286	90268316578
535-30min	535	1	C_12	C_10	control	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	30min	150	0.2294	44410483777	1.93594e+11
535-60min	535	1	C_12	C_10	control	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	90min	150	0.0551	7014998163	1.27314e+11
535-150min	535	1	C_12	C_10	control	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	150min	150	0.0572	NA	NA
536-30min	536	1	C_16	C_10	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	90	0.2371	39149825055	1.65119e+11
536-60min	536	1	C_16	C_10	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	90	0.1012	18509782443	1.82903e+11
538-120min	538	1	C_10	C_10	control	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	150min	150	0.049	2241240435	45739600714
538-30min	538	1	C_10	C_10	control	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	30min	150	0.2795	38402960448	1.37399e+11
538-60min	538	1	C_10	C_10	control	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	90min	150	0.0729	6521799839	89462274883
540-120min	540	1	C_4	C_11	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	150min	290	0.1675	28067843057	1.67569e+11
540-240min	540	1	C_4	C_11	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	210min	290	0.0434	11602863411	2.67347e+11
540-30min	540	1	C_4	C_11	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	30min	290	0.2192	30995691131	1.41404e+11
540-60min	540	1	C_4	C_11	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	90min	290	0.1356	5229986745	38569223783
541-120min	541	1	C_8	C_11	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	150min	120	0.0434	2927859244	67462194562
541-30min	541	1	C_8	C_11	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	30min	120	0.1636	1535029650	9382821822
541-60min	541	1	C_8	C_11	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	90min	120	0.139	10600733664	76264270964
542-120min	542	1	C_1	C_11	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	150min	180	0.0609	18812748964	3.08912e+11
542-180min	542	1	C_1	C_11	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	210min	180	0.0334	11407718216	3.41548e+11
542-30min	542	1	C_1	C_11	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	30min	180	0.1839	94620792877	5.14523e+11
542-60min	542	1	C_1	C_11	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	90min	180	0.2545	49609726099	1.9493e+11
543-30min	543	1	C_15	C_11	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	90	0.1445	5732779087	39673211675
543-60min	543	1	C_15	C_11	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	90	0.206	20305420920	98570004466
544-30min	544	1	C_13	C_11	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	90	0.2599	26272645389	1.01088e+11
544-60min	544	1	C_13	C_11	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	90	0.2152	15972545300	74221864777
545-120min	545	1	C_11	C_11	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	150min	150	0.037	9880602250	2.67043e+11
545-30min	545	1	C_11	C_11	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	150	0.3216	33865725286	1.05304e+11
545-60min	545	1	C_11	C_11	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	150	0.1432	14800130773	1.03353e+11
546-30min	546	1	C_10	C_11	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	90	0.2322	32286465485	1.39046e+11
546-60min	546	1	C_10	C_11	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	90	0.1571	31300242239	1.99238e+11
547-120min	547	1	C_6	C_11	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	150min	120	0.0305	5326561309	1.74641e+11
547-30min	547	1	C_6	C_11	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	30min	120	0.2178	20102043425	92295883494
547-60min	547	1	C_6	C_11	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	90min	120	0.1865	10975260795	58848583351
549-120min	549	1	C_3	C_7	control	1	no	normal	no	BALBc	WT	TRF_study	150min	120	0.0101	3902079070	3.86344e+11
549-30min	549	1	C_3	C_7	control	1	no	normal	no	BALBc	WT	TRF_study	30min	120	0.3179	29961409445	94247906401
549-60min	549	1	C_3	C_7	control	1	no	normal	no	BALBc	WT	TRF_study	90min	120	0.1477	16945461638	1.14729e+11
550-120min	550	1	C_6	C_7	TRF	1	no	normal	no	BALBc	WT	TRF_study	150min	120	0.033	6306751409	1.91114e+11
550-30min	550	1	C_6	C_7	TRF	1	no	normal	no	BALBc	WT	TRF_study	30min	120	0.2867	48078685373	1.67697e+11
550-60min	550	1	C_6	C_7	TRF	1	no	normal	no	BALBc	WT	TRF_study	90min	120	0.1345	13043706454	96979230141
550-30min-2	550	1	C_6	C_7	TRF	1	no	normal	no	BALBc	WT	TRF_study	30min	120	0.2867	NA	NA
553-120min	553	1	C_11	C_12	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	150min	150	0.0365	21246255016	5.82089e+11
553-30min	553	1	C_11	C_12	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	150	0.239	19837988438	83004135724
553-60min	553	1	C_11	C_12	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	150	0.1159	8760287746	75584881329
556-120min	556	1	C_12	C_12	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	150min	120	0.0395	7932785330	2.0083e+11
556-30min	556	1	C_12	C_12	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	120	0.2559	45654504070	1.78408e+11
556-60min	556	1	C_12	C_12	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	120	0.1084	8987434452	82909911919
557-120min	557	1	C_13	C_12	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	150min	120	0.0167	9747243938	5.83667e+11
557-30min	557	1	C_13	C_12	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	120	0.1941	25716048299	1.32489e+11
557-60min	557	1	C_13	C_12	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	120	0.1426	5347523090	37500161921
558-30min	558	1	C_6	C_12	TRF	1	no	normal	yes	BALBc	IL10-/-	TRF_study	30min	90	0.146	17547532045	1.20189e+11
558-60min	558	1	C_6	C_12	TRF	1	no	normal	yes	BALBc	IL10-/-	TRF_study	90min	90	0.1966	8272185062	42076221068
559-30min	559	1	C_15	C_12	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	90	0.2514	36399631372	1.44788e+11
559-60min	559	1	C_15	C_12	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	90	0.1821	9586752511	52645538226
560-120min	560	1	C_3	C_8	control	1	no	normal	no	BALBc	WT	TRF_study	150min	150	0.0498	6488741817	1.30296e+11
560-30min	560	1	C_3	C_8	control	1	no	normal	no	BALBc	WT	TRF_study	30min	150	0.4401	63910807789	1.45219e+11
560-60min	560	1	C_3	C_8	control	1	no	normal	no	BALBc	WT	TRF_study	90min	150	0.1939	21359752335	1.10159e+11
561-120min	561	1	C_7	C_8	TRF	1	no	normal	no	BALBc	WT	TRF_study	150min	120	0.0671	7231233154	1.07768e+11
561-30min	561	1	C_7	C_8	TRF	1	no	normal	no	BALBc	WT	TRF_study	30min	120	0.2513	40214140631	1.60024e+11
561-60min	561	1	C_7	C_8	TRF	1	no	normal	no	BALBc	WT	TRF_study	90min	120	0.2676	30068224844	1.12363e+11
562-120min	562	1	C_12	C_8	control	1	yes	disrupted	no	BALBc	WT	TRF_study	150min	150	0.0989	13121202876	1.32671e+11
562-30min	562	1	C_12	C_8	control	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	150	0.4245	24252060200	57130883863
563-30min	563	1	C_1	C_13	control	1	no	normal	no	BALBc	IL10-/-	TRF_study	30min	90	0.3414	59564581677	1.74472e+11
563-60min	563	1	C_1	C_13	control	1	no	normal	no	BALBc	IL10-/-	TRF_study	90min	90	0.1738	38601277896	2.22102e+11
564-30min	564	1	C_5	C_13	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	30min	90	0.2313	25642131273	1.10861e+11
564-60min	564	1	C_5	C_13	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	90min	90	0.1411	7487079329	53062220617
565-120min	565	1	C_9	C_13	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	150min	120	0.0174	8544701783	4.91075e+11
565-30min	565	1	C_9	C_13	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	120	0.1826	21692996945	1.18801e+11
565-60min	565	1	C_9	C_13	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	120	0.1647	13615407549	82667926831
571-120min	571	1	C_16	C_14	TRF	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	150min	120	0.0442	12871597614	2.91213e+11
571-30min	571	1	C_16	C_14	TRF	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	30min	120	0.1396	37629711626	2.69554e+11
571-60min	571	1	C_16	C_14	TRF	1	yes	disrupted	yes	BALBc	IL10-/-	TRF_study	90min	120	0.1355	7916567543	58424852716
572-120min	572	1	C_2	C_14	control	1	no	normal	no	BALBc	IL10-/-	TRF_study	150min	150	0.0889	25684070252	2.8891e+11
572-30min	572	1	C_2	C_14	control	1	no	normal	no	BALBc	IL10-/-	TRF_study	30min	150	0.2273	20508037652	90224538724
572-60min	572	1	C_2	C_14	control	1	no	normal	no	BALBc	IL10-/-	TRF_study	90min	150	0.0803	14169358648	1.76455e+11
573-120min	573	1	C_10	C_14	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	150min	120	0.0389	2123554453	54590088766
573-30min	573	1	C_10	C_14	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	120	0.2569	30146666980	1.17348e+11
573-60min	573	1	C_10	C_14	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	120	0.1353	19163465693	1.41637e+11
